trial_id,pt_test_acc,tf_test_acc,pt_uniform_accuracy,tf_uniform_accuracy,pt_gaussian_accuracy,tf_gaussian_accuracy,pt_saltandpepper_accuracy,tf_saltandpepper_accuracy,pt_spatial_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
3fd19e92,0.9367038216560509,0.09719999879598618,0.936780377266046,0.09707251347378737,0.936810999510044,0.09676629103380695,0.9346215090641841,0.09247917687408132,0.0,0.0,0.4128434687673987,556.3328564167023,True,,,1,9437a3b4458c42c7920d824cbdf1bb82,2020-10-23_22-34-38,1603510478,556.3328564167023,81949,iotagpu02,140.221.68.6,556.3328564167023,0,1,"11_batch_size=508,dropout=0.89552,epochs=27,learning_rate=0.015314",0.015313609484825953,0.8955157126350952,27,508
3fd1c52a,0.9375995222929936,0.08370000123977661,0.9375995222929936,0.08328484811366978,0.9374846888780008,0.08348389269965703,0.9354942430181286,0.0792733341499265,0.0,0.0,0.40779200526851467,554.2121577262878,True,,,1,f95411d72f1c4715ac4f7ad809d12bae,2020-10-23_22-34-37,1603510477,554.2121577262878,81954,iotagpu02,140.221.68.6,554.2121577262878,0,1,"12_batch_size=448,dropout=0.80534,epochs=38,learning_rate=0.060587",0.060587469763022754,0.8053438359458391,38,448
3fd1ebc2,0.9347133757961783,0.10679999738931656,0.935027253797158,0.10647354238118568,0.9350808427241547,0.10671852033317002,0.9330521190592845,0.10071656050955413,0.0,0.0,0.4158582211990002,565.8464403152466,True,,,1,1ec44866a31947dea225f7c310bee64b,2020-10-23_22-34-53,1603510493,565.8464403152466,81952,iotagpu02,140.221.68.6,565.8464403152466,0,1,"13_batch_size=338,dropout=0.67474,epochs=64,learning_rate=0.035566",0.035565915078492084,0.6747422352056534,64,338
3fd212e6,0.9350119426751592,0.03240000084042549,0.9350349093581578,0.032635656540911315,0.9350961538461537,0.032681589906908386,0.9329066634002938,0.030308365997060244,0.0,0.0,0.386607528256507,543.9551389217377,True,,,1,2f31d965816e439d8fe551296e965040,2020-10-23_22-34-34,1603510474,543.9551389217377,81950,iotagpu02,140.221.68.6,543.9551389217377,0,1,"14_batch_size=255,dropout=0.81424,epochs=56,learning_rate=0.0060674",0.006067433565302122,0.8142417600425826,56,255
3fd240fe,0.9371019108280255,0.07609999924898148,0.9374310999510044,0.07572115384615384,0.9375459333659971,0.0756063204311612,0.9352262983831456,0.07033929446349828,0.0,0.0,0.4045072010517967,544.950071811676,True,,,1,6818a5d6768f476e94f82d8259d16543,2020-10-23_22-34-39,1603510479,544.950071811676,81906,iotagpu02,140.221.68.6,544.950071811676,0,1,"15_batch_size=572,dropout=0.48968,epochs=47,learning_rate=0.019514",0.01951449953760767,0.48967528281430056,47,572
3fd2676e,0.9346138535031847,0.1168999969959259,0.9349200759431652,0.11728319451249386,0.9348817981381676,0.11708414992650662,0.932546852033317,0.11099032337089662,0.0,0.0,0.41992202444236576,563.9841742515564,True,,,1,03ece0ee764a45389636c70112a5467c,2020-10-23_22-35-01,1603510501,563.9841742515564,81905,iotagpu02,140.221.68.6,563.9841742515564,0,1,"16_batch_size=624,dropout=0.65287,epochs=13,learning_rate=0.042027",0.042026947440782836,0.6528699187837252,13,624
3fd28dde,0.934812898089172,0.11100000143051147,0.9350349093581578,0.11170229054385108,0.9350502204801567,0.11161042381185694,0.932860730034297,0.10566205291523763,0.0,0.0,0.4177733526663241,543.1531293392181,True,,,1,6631fcfdd1c7480e9e5717bce0b5c238,2020-10-23_22-43-40,1603511020,543.1531293392181,81908,iotagpu02,140.221.68.6,543.1531293392181,0,1,"17_batch_size=505,dropout=0.83077,epochs=18,learning_rate=0.018793",0.01879321041139544,0.8307747029858015,18,505
3fd2bd22,0.9331210191082803,0.10199999809265137,0.9335191082802548,0.10176537236648701,0.9334884860362568,0.10167350563449289,0.9312300955414012,0.09864955903968639,0.0,0.0,0.41354471440995105,559.1811752319336,True,,,1,216585ee6399411681f2ff05bfbd4d6b,2020-10-23_22-43-58,1603511038,559.1811752319336,81907,iotagpu02,140.221.68.6,559.1811752319336,0,1,"18_batch_size=490,dropout=0.84704,epochs=24,learning_rate=0.060148",0.0601484200285095,0.8470366506155049,24,490
3fd2e41e,0.9339171974522293,0.07490000128746033,0.9342846643802059,0.07473358647721705,0.9341698309652131,0.07458813081822636,0.9320492405683489,0.07113547280744732,0.0,0.0,0.40297781247563486,546.181663274765,True,,,1,87ce0726bde0455f8c21f3ef7b9b16a8,2020-10-23_22-43-46,1603511026,546.181663274765,97410,iotagpu02,140.221.68.6,546.181663274765,0,1,"19_batch_size=53,dropout=0.8272,epochs=62,learning_rate=0.037724",0.03772438069143321,0.8272020446555473,62,53
3fd30aac,0.9365047770700637,0.1031000018119812,0.9366578882900538,0.10284480646741792,0.9366272660460561,0.10268403968642821,0.9344837089661929,0.09778448064674179,0.0,0.0,0.41506869689849357,541.2971346378326,True,,,1,6db84242d6e94b2882aa52647e1e12d5,2020-10-23_22-43-43,1603511023,541.2971346378326,97512,iotagpu02,140.221.68.6,541.2971346378326,0,1,"20_batch_size=304,dropout=0.47418,epochs=47,learning_rate=0.053526",0.05352561432756082,0.4741820331949189,47,304
26412fc0,0.9376990445859873,0.10909999907016754,0.9377526335129838,0.10912236648701618,0.9376378000979911,0.10907643312101911,0.9357085987261147,0.10521803037726603,0.0,0.0,0.4181314905978546,580.3628242015839,True,,,1,5a21038551a648d7a501eac963a6d533,2020-10-23_22-53-44,1603511624,580.3628242015839,102273,iotagpu02,140.221.68.6,580.3628242015839,0,1,"1_batch_size=62,dropout=0.44641,epochs=58,learning_rate=0.054876",0.05487574093708323,0.4464128300049669,58,62
264161c0,0.9343152866242038,0.065700002014637,0.9345602645761882,0.06534786869181773,0.9344760534051936,0.06546270210681038,0.9325391964723174,0.06202535521803036,0.0,0.0,0.39944267291091984,556.9061176776886,True,,,1,278ece622fd34436bbe994987fd3a8aa,2020-10-23_22-53-21,1603511601,556.9061176776886,102275,iotagpu02,140.221.68.6,556.9061176776886,0,1,"2_batch_size=241,dropout=0.5153,epochs=21,learning_rate=0.095411",0.09541138492734498,0.5153033588306661,21,241
