trial_id,pt_test_acc,pt_uniform_accuracy,pt_gaussian_accuracy,pt_saltandpepper_accuracy,pt_spatial_accuracy,tf_test_acc,tf_uniform_accuracy,tf_gaussian_accuracy,tf_saltandpepper_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
d6cc038e,0.009977600571313283,0.00997760079641614,0.00997760079641614,0.00997760079641614,0.00997760079641614,0.009100000374019146,0.009149404602366283,0.009149404602366287,0.008965616265267847,0.0001991040318566475,0.008645153363285404,0.00972747802734375,True,,,2,28add0a18abd4dd9a92580f321fbe877,2020-11-13_21-21-20,1605302480,569.8242411613464,96311,thetagpu17,140.221.68.27,569.8242411613464,0,2,"1_batch_size=245,dropout=0.30485,epochs=27,learning_rate=0.039848",0.03984810259472358,0.3048487140856909,27,245
d6d2a7ca,0.009987084549325316,0.009987084585059581,0.009987084585059581,0.009987084585059581,0.009987084585059581,0.009100000374019146,0.00909369566308222,0.009116603071338054,0.008925708002539464,0.00019853087155052368,0.008636996087209305,0.0322422981262207,True,,,2,145d78fc2386406dbfcb065031eb6c3d,2020-11-13_21-20-43,1605302443,532.9744033813477,96323,thetagpu17,140.221.68.27,532.9744033813477,0,2,"2_batch_size=438,dropout=0.495,epochs=12,learning_rate=0.08663",0.08663039933755128,0.49499554062389334,12,438
d6d4d216,0.009827044021221809,0.00982704402515723,0.00982704402515723,0.00982704402515723,0.00982704402515723,0.009100000374019146,0.00931556927437873,0.009308010009743992,0.009202180304857695,0.0001965408805031446,0.008625752096535344,0.012581586837768555,True,,,2,fb585888c24f4509badde9e9ca5cf2ae,2020-11-13_21-19-02,1605302342,431.7356472015381,96385,thetagpu17,140.221.68.27,431.7356472015381,0,2,"3_batch_size=318,dropout=0.48764,epochs=21,learning_rate=0.070467",0.07046734952489053,0.48763731178521386,21,318
d6d72228,0.009671179577708244,0.00967117988394583,0.00967117988394583,0.00967117988394583,0.00967117988394583,0.009100000374019146,0.009314090165153993,0.009314090165153983,0.009142984674899551,0.00019342359767891205,0.008542048809039715,0.19602012634277344,True,,,2,6af507495a044fd39f118289f6bc8b4a,2020-11-13_21-16-48,1605302208,297.7421233654022,96410,thetagpu17,140.221.68.27,297.7421233654022,0,2,"4_batch_size=470,dropout=0.54829,epochs=11,learning_rate=0.045679",0.04567938620284713,0.5482853903566784,11,470
d6d97190,0.009997786244466192,0.00999778637186349,0.00999778637186349,0.00999778637186349,0.00999778637186349,0.009100000374019146,0.0091109829009747,0.009118662153936969,0.008949434790287944,0.00019966057701907106,0.008646767252815797,0.02318120002746582,True,,,2,ed0dcffe770049beb6f074adf275ea83,2020-11-13_21-19-32,1605302372,462.0710117816925,96420,thetagpu17,140.221.68.27,462.0710117816925,0,2,"5_batch_size=477,dropout=0.24468,epochs=54,learning_rate=0.073202",0.07320199697686575,0.24467974972249867,54,477
d6dbc94a,0.009581297325591246,0.009581297307655461,0.009581297307655461,0.009581297307655461,0.009581297307655461,0.009100000374019146,0.008777942379552053,0.00871898054996648,0.008593686662097139,0.00019162594615311038,0.008328872246800102,0.02855682373046875,True,,,2,8664b11e8be6484d9a94da99989352df,2020-11-13_21-21-01,1605302461,551.1799924373627,96496,thetagpu17,140.221.68.27,551.1799924373627,0,2,"6_batch_size=497,dropout=0.49491,epochs=16,learning_rate=0.066836",0.0668359550110402,0.4949096375118424,16,497
d6de1d76,0.00974373948393446,0.009743739647276635,0.009743739647276635,0.009743739647276635,0.009743739647276635,0.009100000374019146,0.008889288632053903,0.008874298263365795,0.008731889760828672,0.00019487479294553054,0.008450904989625405,0.010439634323120117,True,,,2,a349b66ba4ef444e993d3abc93a63c46,2020-11-13_21-20-12,1605302412,502.5457389354706,96409,thetagpu17,140.221.68.27,502.5457389354706,0,2,"7_batch_size=311,dropout=0.35723,epochs=31,learning_rate=0.07666",0.07665963052842795,0.3572258215929668,31,311
d6e0510e,0.009917116844681677,0.009917116964989306,0.009917116964989306,0.009917116964989306,0.009917116964989306,0.009100000374019146,0.009156697321590943,0.009209737268247899,0.009035463157803581,0.00019700551615444952,0.008628448834245492,0.011738061904907227,True,,,2,8782b7b2da054e019eb2ad922d60006a,2020-11-13_21-23-58,1605302638,727.5725095272064,96408,thetagpu17,140.221.68.27,727.5725095272064,0,2,"8_batch_size=376,dropout=0.61755,epochs=40,learning_rate=0.04411",0.04411017368739716,0.617552587446563,40,376
d6e2ace2,0.009663703063359627,0.009663703131039831,0.009663703131039831,0.009663703131039831,0.009663703131039831,0.009100000374019146,0.00879396984924623,0.008801403467039328,0.008637863875590977,0.00019327406262079286,0.008384502721603543,0.013135194778442383,True,,,2,61be7b84d04d4f60b8618d5ed49da636,2020-11-13_21-25-12,1605302712,501.11214542388916,96411,thetagpu17,140.221.68.27,501.11214542388916,0,2,"9_batch_size=398,dropout=0.51034,epochs=48,learning_rate=0.088424",0.08842398518948164,0.5103420788821846,48,398
8a4b80c4,0.009992650188505649,0.009992650384441424,0.009992650384441424,0.009992650384441424,0.009992650384441424,0.009100000374019146,0.009120090108896086,0.009120090108896091,0.008951701283790841,0.00019900497512438165,0.008645413857699789,0.011933088302612305,True,,,2,f988522912ea4159a64e092dbe81248e,2020-11-13_21-28-22,1605302902,557.5256314277649,96435,thetagpu17,140.221.68.27,557.5256314277649,0,2,"10_batch_size=402,dropout=0.58729,epochs=64,learning_rate=0.068606",0.0686060969111403,0.5872946815333229,64,402
