trial_id,pt_test_acc,pt_uniform_accuracy,pt_gaussian_accuracy,pt_saltandpepper_accuracy,pt_spatial_accuracy,tf_test_acc,tf_uniform_accuracy,tf_gaussian_accuracy,tf_saltandpepper_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
0712db16,0.10037037034829457,0.10037037037037037,0.10037037037037037,0.10037037037037037,0.10037037037037037,0.10000000149011612,0.09950617283950618,0.09950617283950618,0.09950617283950618,0.09950617283950618,0.09998765446779169,0.020606517791748047,True,,,2,403b31910477402b9a88ed2620799e8d,2020-11-14_11-54-40,1605354880,920.160028219223,199889,thetagpu19,140.221.68.29,920.160028219223,0,2,"1_batch_size=225,dropout=0.25658,epochs=89,learning_rate=0.06484",0.06484039022327501,0.2565846800871598,89,225
0718dd54,0.10010347232146531,0.1001034718094357,0.1001034718094357,0.1001034718094357,0.1001034718094357,0.10000000149011612,0.10010347180943574,0.10010347180943574,0.10010347180943574,0.10010347180943574,0.10009312482870672,0.01128244400024414,True,,,2,64bb0819120a4672a5aecda185c17007,2020-11-14_12-02-41,1605355361,1401.5075659751892,199863,thetagpu19,140.221.68.29,1401.5075659751892,0,2,"2_batch_size=103,dropout=0.51158,epochs=80,learning_rate=0.07379",0.07379018760289209,0.511584462674614,80,103
071b251e,0.10041527201731999,0.10041526984237677,0.10041526984237677,0.10041526984237677,0.10041526984237677,0.10000000149011612,0.10041526984237677,0.10041526984237677,0.10041526984237677,0.10041526984237677,0.10037374322464503,0.011212587356567383,True,,,2,74ea803ab636409dab2cd06d57b1aa5a,2020-11-14_11-53-47,1605354827,866.8573648929596,199695,thetagpu19,140.221.68.29,866.8573648929596,0,2,"3_batch_size=241,dropout=0.21176,epochs=81,learning_rate=0.096372",0.09637166019328189,0.21175805964489694,81,241
071d7120,0.09994009584664537,0.09994009584664537,0.09994009584664537,0.09994009584664537,0.09994009584664537,0.10000000149011612,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10003993610223642,0.10001597458990619,0.20624589920043945,True,,,2,d611002aa04a4d93a960b8d28bcdd950,2020-11-14_12-42-24,1605357744,3784.5616223812103,199668,thetagpu19,140.221.68.29,3784.5616223812103,0,2,"4_batch_size=32,dropout=0.49976,epochs=84,learning_rate=0.086507",0.08650656107393637,0.49976485196999026,84,32
071f9914,0.10093989282373399,0.10093989286535872,0.10093989286535872,0.10093230900684319,0.10084130270465676,0.10000000149011612,0.0993734047564275,0.0993734047564275,0.0993734047564275,0.0993734047564275,0.10020869107817774,0.043189287185668945,True,,,2,35a3ab9f454b45788ba017389d68a96a,2020-11-14_11-55-13,1605354913,953.4405472278595,199559,thetagpu19,140.221.68.29,953.4405472278595,0,2,"5_batch_size=161,dropout=0.41331,epochs=48,learning_rate=0.060826",0.06082622030634313,0.41330834836158714,48,161
0721b690,0.10018574981950223,0.1001857480580885,0.1001857480580885,0.1001857480580885,0.1001857480580885,0.10000000149011612,0.10008443093549477,0.10008443093549477,0.10008443093549477,0.10008443093549477,0.10012664672839514,0.013031244277954102,True,,,2,4627d4efd6a1470f8c59b23574042819,2020-11-14_11-52-48,1605354768,807.916894197464,199819,thetagpu19,140.221.68.29,807.916894197464,0,2,"6_batch_size=315,dropout=0.58871,epochs=82,learning_rate=0.096275",0.09627501972683725,0.5887127242674438,82,315
072401b6,0.09980233922342345,0.09980233871503554,0.09980233871503554,0.09980233871503554,0.09980233871503554,0.10000000149011612,0.09980233871503554,0.09980233871503554,0.09980233871503554,0.09980233871503554,0.09982210504338239,0.011118650436401367,True,,,2,003bd52aef2145708600af63db7b2284,2020-11-14_12-14-12,1605356052,2092.1889119148254,199744,thetagpu19,140.221.68.29,2092.1889119148254,0,2,"7_batch_size=58,dropout=0.31129,epochs=73,learning_rate=0.03969",0.039689802578415805,0.31128965507123235,73,58
0726257c,0.09999000948372778,0.09999000999000998,0.09999000999000998,0.09999000999000998,0.0998901098901099,0.10000000149011612,0.09999000999001,0.09999000999001,0.09999000999001,0.09999000999001,0.09998101907940238,0.01463460922241211,True,,,2,fc885e552b9c4ee891f64906dfd415df,2020-11-14_12-01-31,1605355291,1330.577726840973,199767,thetagpu19,140.221.68.29,1330.577726840973,0,2,"8_batch_size=110,dropout=0.41794,epochs=86,learning_rate=0.086379",0.0863792233601468,0.41794222406405146,86,110
07285eaa,0.09997345080663418,0.0999734507746127,0.0999734507746127,0.0999734507746127,0.0999734507746127,0.10000000149011612,0.1000046851574213,0.1000046851574213,0.1000046851574213,0.1000046851574213,0.09998859960248863,0.012057781219482422,True,,,2,36f9b6811f6142f39675b812c2604da4,2020-11-14_12-19-55,1605356395,1624.5649666786194,199548,thetagpu19,140.221.68.29,1624.5649666786194,0,2,"9_batch_size=69,dropout=0.44322,epochs=54,learning_rate=0.075384",0.07538440126834335,0.44322212581996767,54,69
eaaa47be,0.1000407642230045,0.10004076367052134,0.10004076367052134,0.10004076367052134,0.10004076367052134,0.10000000149011612,0.10002304033551207,0.10002304033551207,0.10002304033551207,0.10002304033551207,0.10002959817372542,0.01092839241027832,True,,,2,dd887ebd93d94a27a24a70597248a20b,2020-11-14_12-07-15,1605355635,804.7534036636353,199849,thetagpu19,140.221.68.29,804.7534036636353,0,2,"10_batch_size=233,dropout=0.51725,epochs=82,learning_rate=0.045194",0.04519401631659141,0.5172471630271946,82,233
d9198986,0.10003139297751819,0.100031392843383,0.100031392843383,0.100031392843383,0.100031392843383,0.10000000149011612,0.09963898230109543,0.09963898230109543,0.09963898230109543,0.09963898230109543,0.0998712895045548,0.011257410049438477,True,,,2,43899976c0c841bc914607795545b337,2020-11-14_12-53-30,1605358410,661.9940299987793,199746,thetagpu19,140.221.68.29,661.9940299987793,0,2,"1_batch_size=298,dropout=0.39443,epochs=56,learning_rate=0.0088153",0.008815295485083668,0.3944341244865982,56,298
d91fdf34,0.10205078125,0.10205078125,0.10205078125,0.10205078125,0.10205078125,0.10000000149011612,0.10205078125,0.10205078125,0.10205078125,0.10205078125,0.10184570327401161,0.013779878616333008,True,,,2,083f75ccc0894053b9f60ece8b819778,2020-11-14_12-53-55,1605358435,686.1967749595642,199639,thetagpu19,140.221.68.29,686.1967749595642,0,2,"2_batch_size=256,dropout=0.25884,epochs=57,learning_rate=0.03218",0.032179576230060014,0.2588442298235392,57,256
d922389c,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10000000149011612,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10013977635782748,0.10012579887105634,0.18758535385131836,True,,,2,54df343d740b4074a02614d3a4939c48,2020-11-14_13-43-11,1605361391,3642.4000992774963,199604,thetagpu19,140.221.68.29,3642.4000992774963,0,2,"3_batch_size=32,dropout=0.21327,epochs=71,learning_rate=0.016404",0.016404012278363505,0.21327359986970099,71,32
d925fcca,0.10005461752769493,0.10005461832102684,0.10005461832102684,0.10005461832102684,0.09995499688249328,0.10000000149011612,0.1000357844172245,0.1000357844172245,0.1000357844172245,0.1000357844172245,0.10003166085322829,0.31928491592407227,True,,,2,cef75afe3c0d4019a066a2fa9f5b9e59,2020-11-14_12-55-46,1605358546,797.4518578052521,199645,thetagpu19,140.221.68.29,797.4518578052521,0,2,"4_batch_size=239,dropout=0.63553,epochs=79,learning_rate=0.040732",0.04073235519050174,0.635530736596351,79,239
d92842b4,0.10008546021782745,0.10008545791197833,0.10008545791197833,0.10008545791197833,0.10008545791197833,0.10000000149011612,0.09993590656601621,0.09993590656601621,0.09993590656601621,0.09993590656601621,0.10001709196199217,0.023404359817504883,True,,,2,a007940407a8446491834891d13f13bf,2020-11-14_13-01-20,1605358880,1131.724847316742,199693,thetagpu19,140.221.68.29,1131.724847316742,0,2,"5_batch_size=170,dropout=0.63579,epochs=90,learning_rate=0.025205",0.025204544225155123,0.635794265402114,90,170
d92a8524,0.10004106961110587,0.10004106929510158,0.10004106929510158,0.10004106929510158,0.10004106929510158,0.10000000149011612,0.09976727399442453,0.09976727399442453,0.09976727399442453,0.09976727399442453,0.09992744442593264,0.02201390266418457,True,,,2,098971eea1ec480593acb498ae393ac4,2020-11-14_13-02-14,1605358934,1186.1996893882751,199913,thetagpu19,140.221.68.29,1186.1996893882751,0,2,"6_batch_size=108,dropout=0.32655,epochs=54,learning_rate=0.023317",0.023317283603234366,0.3265517411401674,54,108
