trial_id,test_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
bdb93d9c,0.30217769742012024,105.37456893920898,True,,,1,ebe1f5789345469b80e377881b02b596,2020-10-05_15-48-33,1601938113,105.37456893920898,13481,CSI0354806,192.168.1.240,105.37456893920898,0,1,"17_batch_size=473,dropout=0.51304,epochs=89,learning_rate=0.027588",0.02758768019165559,0.5130393988529607,89,473
bdb97546,0.36583346128463745,175.61820888519287,True,,,1,1f7d115a93824410b1abf7eb4d622274,2020-10-05_15-49-55,1601938195,175.61820888519287,13486,CSI0354806,192.168.1.240,175.61820888519287,0,1,"18_batch_size=157,dropout=0.36658,epochs=80,learning_rate=0.02144",0.02143991152502506,0.36657724557895255,80,157
bdb9a9b2,0.3975674510002136,103.72150707244873,True,,,1,296bbbcabc484041b5a8a4f96e4df5e1,2020-10-05_15-49-26,1601938166,103.72150707244873,13487,CSI0354806,192.168.1.240,103.72150707244873,0,1,"19_batch_size=431,dropout=0.56291,epochs=97,learning_rate=0.031854",0.03185378105991197,0.5629146226962181,97,431
bdb9e076,1.1807584762573242,231.85634994506836,True,,,1,8e7fc80cfa3848d89887607615576aca,2020-10-05_15-51-41,1601938301,231.85634994506836,13533,CSI0354806,192.168.1.240,231.85634994506836,0,1,"20_batch_size=86,dropout=0.28128,epochs=99,learning_rate=0.046293",0.04629343061833055,0.28127984413214124,99,86
940cac20,1.4926776885986328,71.56092309951782,True,,,1,1e6d2c5cedc842e08928aa2cc725dfd3,2020-10-05_15-54-43,1601938483,71.56092309951782,13537,CSI0354806,192.168.1.240,71.56092309951782,0,1,"1_batch_size=382,dropout=0.55065,epochs=47,learning_rate=0.094733",0.09473264865130589,0.5506465801352993,47,382
940cf5d6,0.8946655988693237,71.84683799743652,True,,,1,f06cf4d805314afc94fbd9abc7a57758,2020-10-05_15-54-44,1601938484,71.84683799743652,13536,CSI0354806,192.168.1.240,71.84683799743652,0,1,"2_batch_size=336,dropout=0.5258,epochs=43,learning_rate=0.080673",0.08067255660459924,0.5257972612791573,43,336
940d39ce,1.345770239830017,92.74638295173645,True,,,1,21e4db75d07145668a12a545287e4a41,2020-10-05_15-55-05,1601938505,92.74638295173645,13736,CSI0354806,192.168.1.240,92.74638295173645,0,1,"3_batch_size=314,dropout=0.69381,epochs=55,learning_rate=0.064029",0.06402854136936384,0.6938082916011108,55,314
940d7394,0.3741964101791382,34.35567903518677,True,,,1,1b2227690b634a24943faea73b93598d,2020-10-05_15-54-07,1601938447,34.35567903518677,13739,CSI0354806,192.168.1.240,34.35567903518677,0,1,"4_batch_size=416,dropout=0.51805,epochs=16,learning_rate=0.064228",0.06422832357146878,0.5180463468250405,16,416
940dae40,2.0397861003875732,245.3651270866394,True,,,1,b898805d4ca34a588a98c3d858d624ae,2020-10-05_15-57-38,1601938658,245.3651270866394,13735,CSI0354806,192.168.1.240,245.3651270866394,0,1,"5_batch_size=98,dropout=0.7393,epochs=65,learning_rate=0.081977",0.08197662472430023,0.7392965559212319,65,98
940dee28,0.8889180421829224,32.639070987701416,True,,,1,ff9b1c6ee0ea49298ec390aab86ca3bd,2020-10-05_15-54-05,1601938445,32.639070987701416,13740,CSI0354806,192.168.1.240,32.639070987701416,0,1,"6_batch_size=361,dropout=0.63706,epochs=12,learning_rate=0.085798",0.08579782278498256,0.6370578127990638,12,361
940e28b6,0.9671323299407959,89.40074872970581,True,,,1,5f44afbb7d044377a21787e327d28a9a,2020-10-05_15-55-02,1601938502,89.40074872970581,13738,CSI0354806,192.168.1.240,89.40074872970581,0,1,"7_batch_size=211,dropout=0.56547,epochs=39,learning_rate=0.064971",0.0649705788086222,0.565470203668414,39,211
