trial_id,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
81f44178,0.04670000076293945,0.04670000076293945,0.007489442825317383,True,,,2,2dd38c55b6b14c1a9339d7b0a48c4a63,2020-11-13_09-20-29,1605259229,411.4791750907898,169457,thetagpu13,140.221.68.23,411.4791750907898,0,2,"3_batch_size=47,dropout=0.51495,epochs=77,learning_rate=0.021493",0.02149266016945732,0.5149463643974915,77,47
81f64270,0.04670000076293945,0.04670000076293945,0.008775711059570312,True,,,2,0d182b2b19144346be8d7ec42fe9acd7,2020-11-13_09-17-28,1605259048,230.07540011405945,169597,thetagpu13,140.221.68.23,230.07540011405945,0,2,"4_batch_size=150,dropout=0.35151,epochs=99,learning_rate=0.035939",0.03593859883211929,0.3515122878392556,99,150
81f8162c,0.04670000076293945,0.04670000076293945,0.00852346420288086,True,,,2,8d3ba77f86c44693bd506e2ea97f728e,2020-11-13_09-16-46,1605259006,187.78699612617493,169384,thetagpu13,140.221.68.23,187.78699612617493,0,2,"5_batch_size=155,dropout=0.5729,epochs=87,learning_rate=0.010012",0.010012116209997262,0.5728967897930087,87,155
81fa02d4,0.04670000076293945,0.04670000076293945,0.007493734359741211,True,,,2,a5a17da173d141579da4577c622221ac,2020-11-13_09-15-57,1605258957,138.69766497612,169191,thetagpu13,140.221.68.23,138.69766497612,0,2,"6_batch_size=175,dropout=0.22855,epochs=66,learning_rate=0.027691",0.02769131867252976,0.22855287813956893,66,175
81fc193e,0.04670000076293945,0.04670000076293945,0.008241415023803711,True,,,2,0579fdd4c46d41cc91226cb2587d4f1c,2020-11-13_09-15-43,1605258943,125.5903000831604,169546,thetagpu13,140.221.68.23,125.5903000831604,0,2,"7_batch_size=184,dropout=0.52259,epochs=58,learning_rate=0.0081492",0.008149248239400617,0.5225945936155798,58,184
81fe141e,0.04670000076293945,0.04670000076293945,0.0073549747467041016,True,,,2,56aadce4aeb2404398e23f912aea1681,2020-11-13_09-20-50,1605259250,432.39024543762207,169228,thetagpu13,140.221.68.23,432.39024543762207,0,2,"8_batch_size=33,dropout=0.21881,epochs=58,learning_rate=0.042378",0.042377677219501746,0.21881026193925865,58,33
82000a08,0.04670000076293945,0.04670000076293945,0.0072174072265625,True,,,2,4fa0d4d6c6164497b9d6c21cdf540a8c,2020-11-13_09-18-28,1605259108,161.37634205818176,169582,thetagpu13,140.221.68.23,161.37634205818176,0,2,"9_batch_size=87,dropout=0.4625,epochs=49,learning_rate=0.054998",0.054997606823124795,0.4624984554667583,49,87
ceaf7e24,0.04670000076293945,0.04670000076293945,0.00790858268737793,True,,,2,f1f2d111f958470196811ac1587f9b36,2020-11-13_09-18-08,1605259088,128.52460622787476,169378,thetagpu13,140.221.68.23,128.52460622787476,0,2,"10_batch_size=187,dropout=0.49136,epochs=66,learning_rate=0.057384",0.057384327983859035,0.4913635312805353,66,187
2aa76308,0.04670000076293945,0.04670000076293945,0.006445646286010742,True,,,2,53a7a98ff81447a793656455af6b578f,2020-11-13_09-27-43,1605259663,132.62268209457397,169484,thetagpu13,140.221.68.23,132.62268209457397,0,2,"1_batch_size=121,dropout=0.80204,epochs=49,learning_rate=0.062838",0.06283849342962587,0.8020424702608364,49,121
2aac88d8,0.04670000076293945,0.04670000076293945,0.006668806076049805,True,,,2,9b9f3a5d65e6457abe31a89d912d9e4c,2020-11-13_09-26-59,1605259619,88.59538698196411,169403,thetagpu13,140.221.68.23,88.59538698196411,0,2,"2_batch_size=125,dropout=0.84917,epochs=32,learning_rate=0.043915",0.04391526819005978,0.8491715733273031,32,125
2aaf49ba,0.04670000076293945,0.04670000076293945,0.00734257698059082,True,,,2,94418d8a2611445a9e752eb22e12f349,2020-11-13_09-26-24,1605259584,53.24052667617798,169285,thetagpu13,140.221.68.23,53.24052667617798,0,2,"3_batch_size=84,dropout=0.811,epochs=14,learning_rate=0.056518",0.056518139386722614,0.811003371729974,14,84
2ab17bea,0.04670000076293945,0.04670000076293945,0.008186578750610352,True,,,2,90513bdc1a6549d4be5c3186eada1aed,2020-11-13_09-26-34,1605259594,63.658950090408325,169570,thetagpu13,140.221.68.23,63.658950090408325,0,2,"4_batch_size=51,dropout=0.75079,epochs=11,learning_rate=0.090973",0.09097267179504125,0.7507908946056381,11,51
2ab3c832,0.04670000076293945,0.04670000076293945,0.007198810577392578,True,,,2,0efd89eddff84227b4af9a1bf46efec7,2020-11-13_09-27-18,1605259638,107.91676998138428,169543,thetagpu13,140.221.68.23,107.91676998138428,0,2,"5_batch_size=85,dropout=0.83123,epochs=29,learning_rate=0.057514",0.05751432108171961,0.831232714452574,29,85
2ab66fc4,0.04670000076293945,0.04670000076293945,0.0066797733306884766,True,,,2,53b8f8d15b4244048d0ceed955a4d637,2020-11-13_09-27-50,1605259670,140.09258842468262,169218,thetagpu13,140.221.68.23,140.09258842468262,0,2,"6_batch_size=170,dropout=0.6032,epochs=62,learning_rate=0.095511",0.09551118258342423,0.6032016341341933,62,170
2ab8ce36,0.04670000076293945,0.04670000076293945,0.00770878791809082,True,,,2,448cb59ec6864b55bb010d471d95e66b,2020-11-13_09-27-10,1605259630,99.1845281124115,169519,thetagpu13,140.221.68.23,99.1845281124115,0,2,"7_batch_size=270,dropout=0.86604,epochs=54,learning_rate=0.082019",0.08201919747309393,0.8660356236087485,54,270
2abb1bbe,0.04670000076293945,0.04670000076293945,0.008279561996459961,True,,,2,bdc3b8b7c90049058e627d28ae33d92d,2020-11-13_09-26-32,1605259592,61.858893632888794,169506,thetagpu13,140.221.68.23,61.858893632888794,0,2,"8_batch_size=249,dropout=0.51324,epochs=29,learning_rate=0.062262",0.06226237497841507,0.5132447691666996,29,249
2abd1cca,0.04670000076293945,0.04670000076293945,0.00809478759765625,True,,,2,0b8c6f039284426f9e254c616f8b43f3,2020-11-13_09-27-35,1605259655,68.79909038543701,169362,thetagpu13,140.221.68.23,68.79909038543701,0,2,"9_batch_size=206,dropout=0.57812,epochs=33,learning_rate=0.093153",0.09315320742087717,0.5781200293779452,33,206
4c59623a,0.04670000076293945,0.04670000076293945,0.007080554962158203,True,,,2,978e90f3f1e44a54ab58dd2dcc4a117c,2020-11-13_09-27-47,1605259667,72.2449951171875,169387,thetagpu13,140.221.68.23,72.2449951171875,0,2,"10_batch_size=177,dropout=0.6081,epochs=30,learning_rate=0.060239",0.06023933499356911,0.6080998727385776,30,177
8037f454,0.04670000076293945,0.04670000076293945,0.008065938949584961,True,,,2,cb803051c7e544dfb391e43099d64ea9,2020-11-13_09-28-49,1605259729,55.213321685791016,169559,thetagpu13,140.221.68.23,55.213321685791016,0,2,"1_batch_size=147,dropout=0.72984,epochs=21,learning_rate=0.010409",0.010409289974006577,0.7298440205891891,21,147
