trial_id,pt_test_acc,tf_test_acc,pt_uniform_accuracy,tf_uniform_accuracy,pt_gaussian_accuracy,tf_gaussian_accuracy,pt_saltandpepper_accuracy,tf_saltandpepper_accuracy,pt_spatial_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
080938b2,0.9364052661664927,0.945900022983551,0.9366655438510534,0.9460818838804508,0.9366425771680547,0.9461507839294465,0.9344301200391965,0.9444359382655562,0.0,0.0,0.7526712136283802,547.5512392520905,True,,,1,e934b5a5612d4eeba2c4aa63312f29f5,2020-10-23_11-39-27,1603471167,547.5512392520905,139816,iotagpu02,140.221.68.6,547.5512392520905,0,1,"5_batch_size=881,dropout=0.80051,epochs=74,learning_rate=0.020218",0.02021831515039163,0.8005059932628584,74,881
08095f54,0.9336186442405555,0.9426000118255615,0.9334961415972562,0.9426828147966682,0.9335650416462519,0.9427364037236647,0.9315439735423813,0.9409909358157766,0.0,0.0,0.7501233967188116,555.4779517650604,True,,,1,53f11a16e6c9497188f3a4df44828be9,2020-10-23_11-39-35,1603471175,555.4779517650604,139781,iotagpu02,140.221.68.6,555.4779517650604,0,1,"6_batch_size=864,dropout=0.69184,epochs=53,learning_rate=0.053678",0.05367776051623195,0.6918373375879645,53,864
08098600,0.9374004902353712,0.9447000026702881,0.9373698554630082,0.9445890494855463,0.9373775110240078,0.9445813939245468,0.9354789318961294,0.9427593704066632,0.0,0.0,0.7524256605105561,550.4774632453918,True,,,1,8e7c10df10cc4e778eba4960af93448e,2020-10-23_11-39-30,1603471170,550.4774632453918,139834,iotagpu02,140.221.68.6,550.4774632453918,0,1,"7_batch_size=532,dropout=0.61729,epochs=73,learning_rate=0.022615",0.022614825239261428,0.6172927984380231,73,532
0809b0b2,0.9376990559754098,0.9466000199317932,0.9376990445859873,0.9468168177364036,0.9376607667809898,0.946686673199412,0.9355861097501225,0.9448876163645272,0.0,0.0,0.7533636104324646,550.9410796165466,True,,,1,4c0921b2434b496c8b06a99aa124ec6c,2020-10-23_11-39-30,1603471170,550.9410796165466,139785,iotagpu02,140.221.68.6,550.9410796165466,0,1,"8_batch_size=983,dropout=0.77389,epochs=65,learning_rate=0.017752",0.0177515858419748,0.773890671062821,65,983
0809d696,0.9337181638760171,0.9424999952316284,0.934001408623224,0.9425220480156786,0.9339937530622243,0.942514392454679,0.9316588069573739,0.9406158133268006,0.0,0.0,0.7501524381547626,550.5361387729645,True,,,1,201c1c537de84bf0ac5f031a6e9a6cf4,2020-10-23_11-48-34,1603471714,550.5361387729645,139821,iotagpu02,140.221.68.6,550.5361387729645,0,1,"9_batch_size=948,dropout=0.62684,epochs=65,learning_rate=0.020146",0.020145503540569352,0.6268355918640163,65,948
0809fcac,0.9302348874177143,0.9441999793052673,0.9307554507594317,0.9445967050465459,0.9307018618324352,0.9446043606075453,0.9283975379715825,0.9426751592356688,0.0,0.0,0.7496165942176191,549.999272108078,True,,,1,afeadf7e1a934d21865d570e87e75fdd,2020-10-23_11-48-41,1603471721,549.999272108078,139809,iotagpu02,140.221.68.6,549.999272108078,0,1,"10_batch_size=386,dropout=0.56228,epochs=52,learning_rate=0.013569",0.013568574511377739,0.5622815688343119,52,386
9b370c7a,0.9350119559628189,0.9470000267028809,0.9351191205291522,0.9470005512003918,0.9351114649681529,0.9469775845173934,0.9331057079862812,0.9454388167564919,0.0,0.0,0.7524765228623563,561.2418158054352,True,,,1,a643742fd46f480ea3b8260ec6a86a33,2020-10-23_11-58-07,1603472287,561.2418158054352,139769,iotagpu02,140.221.68.6,561.2418158054352,0,1,"1_batch_size=681,dropout=0.47658,epochs=93,learning_rate=0.058023",0.058022516716118244,0.4765849574071161,93,681
9b373c2c,0.9359076520439925,0.9441999793052673,0.9359229544341011,0.9445278049975504,0.9360148211660949,0.9444895271925527,0.9338482974032336,0.9425756369426752,0.0,0.0,0.7517486673485467,558.1250197887421,True,,,1,da7fb8307eaf452d81f085471318b40b,2020-10-23_11-58-03,1603472283,558.1250197887421,139738,iotagpu02,140.221.68.6,558.1250197887421,0,1,"2_batch_size=911,dropout=0.41493,epochs=91,learning_rate=0.070589",0.0705891920850896,0.4149304698544013,91,911
9b3763b4,0.9359076547015245,0.9444000124931335,0.9361373101420871,0.9446579495345419,0.9361373101420871,0.9448034051935328,0.9340703086722196,0.9428359260166583,0.0,0.0,0.7518949876895785,565.8074712753296,True,,,1,0807f0fd3f2f4c4b8620403ccb961928,2020-10-23_11-58-11,1603472291,565.8074712753296,139779,iotagpu02,140.221.68.6,565.8074712753296,0,1,"3_batch_size=910,dropout=0.48252,epochs=92,learning_rate=0.040128",0.04012830693132932,0.4825180351207569,92,910
9b3789f2,0.9358081324085309,0.9415000081062317,0.9359382655560998,0.9412206026457619,0.9359918544830964,0.9411823248407644,0.933924853013229,0.939467479176874,0.0,0.0,0.7505033520230588,557.3160445690155,True,,,1,c57ce169663e45c281b94c938053529e,2020-10-23_11-58-03,1603472283,557.3160445690155,139829,iotagpu02,140.221.68.6,557.3160445690155,0,1,"4_batch_size=415,dropout=0.25181,epochs=79,learning_rate=0.053933",0.053932653350780055,0.2518123520461175,79,415
9b37b472,0.9349124321512355,0.9460999965667725,0.9351344316511514,0.9465335619794218,0.9350655316021558,0.9464416952474276,0.932937285644292,0.9446502939735424,0.0,0.0,0.7521775228815999,554.5496401786804,True,,,1,28d6c34b4a3c49ce8bfd1aa532abb3aa,2020-10-23_11-58-00,1603472280,554.5496401786804,139841,iotagpu02,140.221.68.6,554.5496401786804,0,1,"5_batch_size=661,dropout=0.44847,epochs=84,learning_rate=0.048024",0.048023955191128384,0.44846762166449494,84,661
9b37d9e8,0.9366043096135377,0.9437999725341797,0.9366196104850565,0.9438158378245959,0.9365813326800587,0.9439230156785888,0.9347286869181771,0.9419631920627146,0.0,0.0,0.7518035957796909,564.0618040561676,True,,,1,a7eebaa30d8e48e6a156380b1c7e7c2d,2020-10-23_11-58-09,1603472289,564.0618040561676,139836,iotagpu02,140.221.68.6,564.0618040561676,0,1,"6_batch_size=743,dropout=0.58574,epochs=75,learning_rate=0.098728",0.09872775041175438,0.5857366678766778,75,743
